Date,average patient
01-03-2012,325.25
01-04-2012,331.27
01-05-2012,329.83
01-06-2012,328.34
01-09-2012,322.04
01-10-2012,313.7
01-11-2012,310.59
01-12-2012,314.43
1/13/2012,311.96
1/17/2012,314.81
1/18/2012,312.14
1/19/2012,319.3
1/20/2012,294.16
1/23/2012,291.91
1/24/2012,292.07
1/25/2012,287.68
1/26/2012,284.92
1/27/2012,284.32
1/30/2012,287.95
1/31/2012,290.41
02-01-2012,291.38
02-02-2012,291.34
02-03-2012,294.23
02-06-2012,296.39
02-07-2012,302.44
02-08-2012,303.18
02-09-2012,304.87
02-10-2012,302.81
2/13/2012,304.11
2/14/2012,304.63
2/15/2012,305.32
2/16/2012,300.28
2/17/2012,301.36
2/21/2012,300.81
2/22/2012,304.84
2/23/2012,302.37
2/24/2012,302.54
2/27/2012,302.16
2/28/2012,303.86
2/29/2012,308.14
03-01-2012,309.97
03-02-2012,309.84
03-05-2012,309.06
03-06-2012,302.89
03-07-2012,303.39
03-08-2012,303.88
03-09-2012,302.84
03-12-2012,298.88
3/13/2012,303.24
3/14/2012,306.35
3/15/2012,307.15
3/16/2012,309.29
3/19/2012,310.4
3/20/2012,314.28
3/21/2012,316.12
3/22/2012,318.06
3/23/2012,322.09
3/26/2012,321.3
3/27/2012,322.31
3/28/2012,324.8
3/29/2012,325.5
3/30/2012,324.66
04-02-2012,319.19
04-03-2012,321.5
04-04-2012,318.03
04-05-2012,314.94
04-09-2012,313.07
04-10-2012,315.58
04-11-2012,315.8
04-12-2012,319.98
4/13/2012,322.57
4/16/2012,310.34
4/17/2012,303.14
4/18/2012,302.89
4/19/2012,301.71
4/20/2012,301
4/23/2012,295.34
4/24/2012,298
4/25/2012,300.87
4/26/2012,304.31
4/27/2012,306.36
4/30/2012,305.35
05-01-2012,300.77
05-02-2012,299.48
05-03-2012,303.67
05-04-2012,301.83
05-07-2012,296.39
05-08-2012,301.63
05-09-2012,302.28
05-10-2012,305.34
05-11-2012,304.04
5/14/2012,299.27
5/15/2012,301.54
5/16/2012,307.83
5/17/2012,315.73
5/18/2012,311.38
5/21/2012,299.13
5/22/2012,305.57
5/23/2012,299.7
5/24/2012,303.44
5/25/2012,299.38
5/29/2012,296.79
5/30/2012,292.98
5/31/2012,293.26
06-01-2012,284.83
06-04-2012,284.05
06-05-2012,286.65
06-06-2012,287.16
06-07-2012,292.7
06-08-2012,286.85
06-11-2012,291.01
06-12-2012,283.82
6/13/2012,279.81
6/14/2012,279.6
6/15/2012,279.12
6/18/2012,280.26
6/19/2012,285.72
6/20/2012,288.82
6/21/2012,288.84
6/22/2012,282.94
6/25/2012,282.61
6/26/2012,280.33
6/27/2012,282.79
6/28/2012,281.89
6/29/2012,286.41
07-02-2012,289.82
07-03-2012,288.92
07-05-2012,293.28
07-06-2012,295.12
07-09-2012,291.38
07-10-2012,293.99
07-11-2012,287.07
07-12-2012,282.5
7/13/2012,285.01
7/16/2012,287.11
7/17/2012,288.14
7/18/2012,287.41
7/19/2012,291.98
7/20/2012,303.24
7/23/2012,299.12
7/24/2012,306.35
7/25/2012,303.02
7/26/2012,306.35
7/27/2012,308.29
7/30/2012,316.84
7/31/2012,312.96
08-01-2012,317.46
08-02-2012,311.59
08-03-2012,318.81
08-06-2012,318.61
08-07-2012,319.7
08-08-2012,318.33
08-09-2012,321.05
08-10-2012,318.1
8/13/2012,322.5
8/14/2012,328.39
8/15/2012,333.89
8/16/2012,332.51
8/17/2012,335.8
8/20/2012,336.49
8/21/2012,335.3
8/22/2012,332.44
8/23/2012,335.88
8/24/2012,336.54
8/27/2012,330.26
8/28/2012,331.26
8/29/2012,337.42
8/30/2012,340.84
8/31/2012,340.72
09-04-2012,341
09-05-2012,338.73
09-06-2012,341.7
09-07-2012,348.69
09-10-2012,353.55
09-11-2012,347.68
09-12-2012,343.42
9/13/2012,345.25
9/14/2012,353.48
9/17/2012,352.73
9/18/2012,352.57
9/19/2012,357.41
9/20/2012,360.88
9/21/2012,364.74
9/24/2012,364.14
9/25/2012,375.12
9/26/2012,373.52
9/27/2012,378.56
9/28/2012,375.67
10-01-2012,378.11
10-02-2012,381.17
10-03-2012,376.45
10-04-2012,379.95
10-05-2012,383.92
10-08-2012,379.08
10-09-2012,378.42
10-10-2012,369.54
10-11-2012,375.04
10-12-2012,374.52
10/15/2012,369.58
10/16/2012,368.68
10/17/2012,370.59
10/18/2012,376.36
10/19/2012,351.47
10/22/2012,339.23
10/23/2012,334.75
10/24/2012,342.12
10/25/2012,338.73
10/26/2012,336.99
10/31/2012,338.66
11-01-2012,338.48
11-02-2012,346.1
11-05-2012,340.97
11-06-2012,341.46
11-07-2012,336.24
11-08-2012,333.85
11-09-2012,326.1
11-12-2012,330.64
11/13/2012,330.26
11/14/2012,329.1
11/15/2012,323.79
11/16/2012,321.79
11/19/2012,326.63
11/20/2012,333.5
11/21/2012,333.25
11/23/2012,333.73
11/26/2012,331.98
11/27/2012,328.85
11/28/2012,332.76
11/29/2012,342.61
11/30/2012,344.36
12-03-2012,349.81
12-04-2012,346.2
12-05-2012,344.78
12-06-2012,342.51
12-07-2012,346.2
12-10-2012,341.42
12-11-2012,343.71
12-12-2012,348.31
12/13/2012,356.62
12/14/2012,348.28
12/17/2012,351.43
12/18/2012,356.96
12/19/2012,359.01
12/20/2012,360.28
12/21/2012,355.65
12/24/2012,355.92
12/26/2012,352.71
12/27/2012,352.25
12/28/2012,349.53
12/31/2012,348.69
01-02-2013,358.37
01-03-2013,361.11
01-04-2013,363.31
01-07-2013,366.35
01-08-2013,366.4
01-09-2013,364.77
01-10-2013,370.03
01-11-2013,369.61
1/14/2013,367.12
1/15/2013,358.32
1/16/2013,359.85
1/17/2013,357.51
1/18/2013,353.85
1/22/2013,351.01
1/23/2013,366.62
1/24/2013,369.24
1/25/2013,373.98
1/28/2013,374.48
1/29/2013,371.98
1/30/2013,375.46
1/31/2013,373.85
02-01-2013,377.68
02-04-2013,382.41
02-05-2013,379.14
02-06-2013,378.12
02-07-2013,383.41
02-08-2013,388.61
02-11-2013,387.75
02-12-2013,389.42
2/13/2013,388.61
2/14/2013,388.41
2/15/2013,392.23
2/19/2013,396.51
2/20/2013,401.15
2/21/2013,397.51
2/22/2013,398.14
2/25/2013,399.65
2/26/2013,396.02
2/27/2013,395.92
2/28/2013,399.05
03-01-2013,397.41
03-04-2013,401.15
03-05-2013,412.92
03-06-2013,418.94
03-07-2013,415.47
03-08-2013,415.69
03-11-2013,414.29
03-12-2013,413.8
3/13/2013,412.4
3/14/2013,411.95
3/15/2013,407.72
3/18/2013,401
3/19/2013,404.11
3/20/2013,406.89
3/21/2013,404.13
3/22/2013,405.85
3/25/2013,404.69
3/26/2013,405.23
3/27/2013,401.83
3/28/2013,400.49
04-01-2013,396.02
04-02-2013,400.77
04-03-2013,405.21
04-04-2013,400.62
04-05-2013,391.56
04-08-2013,387.92
04-09-2013,386.3
04-10-2013,390
04-11-2013,394.96
04-12-2013,394.52
4/15/2013,391.51
4/16/2013,391.83
4/17/2013,391.91
4/18/2013,391.21
4/19/2013,383.14
4/22/2013,398.81
4/23/2013,399
4/24/2013,402.55
4/25/2013,406.6
4/26/2013,402.29
4/29/2013,400.13
4/30/2013,407.97
05-01-2013,410.09
05-02-2013,408.52
05-03-2013,416.92
05-06-2013,422.55
05-07-2013,429.89
05-08-2013,426.9
05-09-2013,433.79
05-10-2013,436.02
5/13/2013,437.8
5/14/2013,437.11
5/15/2013,446.08
5/16/2013,457.78
5/17/2013,453.31
5/20/2013,450.81
5/21/2013,452.31
5/22/2013,449.59
5/23/2013,436.86
5/24/2013,436
5/28/2013,440.1
5/29/2013,436.22
5/30/2013,433.34
5/31/2013,432.44
06-03-2013,434.87
06-04-2013,432.3
06-05-2013,429.64
06-06-2013,430.54
06-07-2013,433.58
06-10-2013,439.4
06-11-2013,440.33
06-12-2013,441.08
6/13/2013,432.87
6/14/2013,438.41
6/17/2013,437.97
6/18/2013,442.67
6/19/2013,449
6/20/2013,445.33
6/21/2013,442.51
6/24/2013,434.31
6/25/2013,436.99
6/26/2013,435.24
6/27/2013,437.76
6/28/2013,435.82
07-01-2013,441.57
07-02-2013,443.44
07-03-2013,438.31
07-05-2013,443.34
07-08-2013,447.93
07-09-2013,453.8
07-10-2013,450.04
07-11-2013,454.8
07-12-2013,458.28
7/15/2013,460.42
7/16/2013,461.83
7/17/2013,458.78
7/18/2013,457.78
7/19/2013,441.65
7/22/2013,449.32
7/23/2013,453.65
7/24/2013,451.94
7/25/2013,445.27
7/26/2013,441.84
7/29/2013,440.8
7/30/2013,441.08
7/31/2013,444.83
08-01-2013,445.83
08-02-2013,450.03
08-05-2013,451
08-06-2013,450.66
08-07-2013,445.85
08-08-2013,446.07
08-09-2013,443.62
08-12-2013,441.79
8/13/2013,441.76
8/14/2013,437.54
8/15/2013,430.61
8/16/2013,429.03
8/19/2013,427.25
8/20/2013,432.55
8/21/2013,433.7
8/22/2013,434.72
8/23/2013,437.28
8/26/2013,433.38
8/27/2013,428.2
8/28/2013,423.54
8/29/2013,422.95
8/30/2013,426.28
09-03-2013,425.58
09-04-2013,428.57
09-05-2013,435.12
09-06-2013,439.57
09-09-2013,440.21
09-10-2013,443.35
09-11-2013,442.61
09-12-2013,447.02
9/13/2013,445.58
9/16/2013,446.43
9/17/2013,442.05
9/18/2013,441.52
9/19/2013,451.3
9/20/2013,447.52
9/23/2013,446.4
9/24/2013,441.59
9/25/2013,441.62
9/26/2013,437.51
9/27/2013,435.78
9/30/2013,432.92
10-01-2013,438.48
10-02-2013,439.72
10-03-2013,442.34
10-04-2013,435.87
10-07-2013,432.11
10-08-2013,431.04
10-09-2013,426.54
10-10-2013,430.31
10-11-2013,431.4
10/14/2013,431.71
10/15/2013,436.24
10/16/2013,441.28
10/17/2013,444.83
10/18/2013,486.47
10/21/2013,503.84
10/22/2013,500.62
10/23/2013,498.63
10/24/2013,514.01
10/25/2013,512.49
10/28/2013,505.7
10/29/2013,507.65
10/30/2013,516.78
10/31/2013,512.54
11-01-2013,513.97
11-04-2013,513.82
11-05-2013,508.27
11-06-2013,510.89
11-07-2013,509.4
11-08-2013,502.49
11-11-2013,502.87
11-12-2013,501.97
11/13/2013,501.5
11/14/2013,515.03
11/15/2013,515.5
11/18/2013,515.94
11/19/2013,513.93
11/20/2013,513.05
11/21/2013,511.58
11/22/2013,514.78
11/25/2013,516.64
11/26/2013,522.34
11/27/2013,529.03
11/29/2013,529.1
12-02-2013,529.77
12-03-2013,523.51
12-04-2013,523.72
12-05-2013,526.63
12-06-2013,532.9
12-09-2013,533.5
12-10-2013,536.07
12-11-2013,541.67
12-12-2013,537.77
12/13/2013,535.69
12/16/2013,530.01
12/17/2013,534.41
12/18/2013,533.92
12/19/2013,538.37
12/20/2013,542.12
12/23/2013,551.85
12/24/2013,555.4
12/26/2013,554.92
12/27/2013,557.91
12/30/2013,558.08
12/31/2013,554.04
01-02-2014,555.65
01-03-2014,555.42
01-06-2014,554.43
01-07-2014,560.4
01-08-2014,570.86
01-09-2014,569.59
01-10-2014,567.41
1/13/2014,561.13
1/14/2014,566.85
1/15/2014,574.34
1/16/2014,572.4
1/17/2014,576.27
1/21/2014,578.3
1/22/2014,581.13
1/23/2014,577.83
1/24/2014,573.36
1/27/2014,560.95
1/28/2014,553.09
1/29/2014,557.47
1/30/2014,570.36
1/31/2014,583.49
02-03-2014,587.4
02-04-2014,566.87
02-05-2014,569.56
02-06-2014,573.42
02-07-2014,581.63
02-10-2014,583.71
02-11-2014,587.88
02-12-2014,592.28
2/13/2014,588.17
2/14/2014,595.57
2/18/2014,598.46
2/19/2014,600.4
2/20/2014,599.32
2/21/2014,601.65
2/24/2014,600.43
2/25/2014,605.7
2/26/2014,609.71
2/27/2014,606.92
2/28/2014,607.89
03-03-2014,601.12
03-04-2014,605.23
03-05-2014,605.26
03-06-2014,608.86
03-07-2014,611.11
03-10-2014,605.58
03-11-2014,604.62
03-12-2014,595.97
3/13/2014,601.72
3/14/2014,588.79
3/17/2014,587.42
3/18/2014,595.1
3/19/2014,603.64
3/20/2014,597.73
3/21/2014,600.9
3/24/2014,589.88
3/25/2014,580.82
3/26/2014,578.84
3/27/2014,566.44
3/28/2014,559.66
3/31/2014,565.34
04-01-2014,557.18
04-02-2014,598.35
04-03-2014,568.29
04-04-2014,573.08
04-07-2014,539.26
04-08-2014,541.11
04-09-2014,558.09
04-10-2014,563.45
04-11-2014,531.09
4/14/2014,536.78
4/15/2014,535.35
4/16/2014,541.51
4/17/2014,547.31
4/21/2014,534.63
4/22/2014,527.19
4/23/2014,532.33
4/24/2014,528.62
4/25/2014,521.08
4/28/2014,515.76
4/29/2014,515.48
4/30/2014,526.16
05-01-2014,525.67
05-02-2014,532.3
05-05-2014,523.38
05-06-2014,523.79
05-07-2014,514.38
05-08-2014,507.07
05-09-2014,509.35
05-12-2014,522.08
5/13/2014,529.44
5/14/2014,531.54
5/15/2014,524.26
5/16/2014,519.96
5/19/2014,518.28
5/20/2014,528.29
5/21/2014,531.44
5/22/2014,539.65
5/23/2014,545.76
5/27/2014,554.48
5/28/2014,563.02
5/29/2014,561.81
5/30/2014,559.26
06-02-2014,559.16
06-03-2014,549.48
06-04-2014,540.02
06-05-2014,544.9
06-06-2014,556.53
06-09-2014,555.62
06-10-2014,558.98
06-11-2014,556.47
06-12-2014,555.77
6/13/2014,550.75
6/16/2014,547.76
6/17/2014,542.71
6/18/2014,543.37
6/19/2014,552.72
6/20/2014,555.33
6/23/2014,553.63
6/24/2014,563.64
6/25/2014,563.71
6/26/2014,579.41
6/27/2014,575.6
6/30/2014,577.08
07-01-2014,576.74
07-02-2014,581.75
07-03-2014,581.75
07-07-2014,582.16
07-08-2014,576.08
07-09-2014,570.02
07-10-2014,564.36
07-11-2014,570.34
7/14/2014,581
7/15/2014,584.14
7/16/2014,586.39
7/17/2014,577.94
7/18/2014,591.38
7/21/2014,590.13
7/22/2014,589.1
7/23/2014,591.61
7/24/2014,594.82
7/25/2014,588.78
7/28/2014,586.46
7/29/2014,587.14
7/30/2014,584.94
7/31/2014,579.01
08-01-2014,568.84
08-04-2014,567.48
08-05-2014,568.49
08-06-2014,560.24
08-07-2014,566.44
08-08-2014,562.02
08-11-2014,568.43
08-12-2014,562.97
8/13/2014,565.76
8/14/2014,574.6
8/15/2014,576.28
8/18/2014,574.53
8/19/2014,583.4
8/20/2014,584.28
8/21/2014,582.22
8/22/2014,581.99
8/25/2014,583.12
8/26/2014,579.67
8/27/2014,575.69
8/28/2014,568
8/29/2014,569.77
09-02-2014,570.28
09-03-2014,578.41
09-04-2014,578.41
09-05-2014,582.38
09-08-2014,584.99
09-09-2014,587.29
09-10-2014,579.91
09-11-2014,578.77
09-12-2014,579.41
9/15/2014,571.37
9/16/2014,571.19
9/17/2014,578.42
9/18/2014,585.39
9/19/2014,589.88
9/22/2014,592.19
9/23/2014,585.24
9/24/2014,579.87
9/25/2014,585.94
9/26/2014,574.48
9/29/2014,570.18
9/30/2014,575.35
10-01-2014,574.43
10-02-2014,565.76
10-03-2014,571.48
10-06-2014,577.22
10-07-2014,572.83
10-08-2014,564.02
10-09-2014,569.62
10-10-2014,556.19
10/13/2014,543.5
10/14/2014,537.42
10/15/2014,529.56
10/16/2014,517.58
10/17/2014,525.81
10/20/2014,508.06
10/21/2014,523.75
10/22/2014,528.44
10/23/2014,537.84
10/24/2014,542.87
10/27/2014,535.56
10/28/2014,541.51
10/29/2014,548.49
10/30/2014,547.45
10/31/2014,557.82
11-03-2014,553.98
11-04-2014,551.49
11-05-2014,555.28
11-06-2014,544.01
11-07-2014,544.71
11-10-2014,539.98
11-11-2014,546.99
11-12-2014,548.88
11/13/2014,548.29
11/14/2014,545.18
11/17/2014,542.09
11/18/2014,536.03
11/19/2014,533.54
11/20/2014,529.8
11/21/2014,540.13
11/24/2014,536.18
11/25/2014,537.52
11/26/2014,539.4
11/28/2014,539.14
12-01-2014,537.42
12-02-2014,532.05
12-03-2014,529.98
12-04-2014,529.71
12-05-2014,529.55
12-08-2014,525.69
12-09-2014,520.71
12-10-2014,531.62
12-11-2014,526.35
12-12-2014,522.08
12/15/2014,521.31
12/16/2014,510.16
12/17/2014,495.64
12/18/2014,511.55
12/19/2014,510.11
12/22/2014,514.67
12/23/2014,525.56
12/24/2014,529.06
12/26/2014,527.32
12/29/2014,530.73
12/30/2014,526.64
12/31/2014,529.8
01-02-2015,527.56
01-05-2015,521.83
01-06-2015,513.59
01-07-2015,505.61
01-08-2015,496.63
01-09-2015,503.38
01-12-2015,493.58
1/13/2015,497.47
1/14/2015,493.3
1/15/2015,504.19
1/16/2015,498.64
1/20/2015,509.6
1/21/2015,505.86
1/22/2015,520.05
1/23/2015,534.12
1/26/2015,537.06
1/27/2015,528.52
1/28/2015,521.35
1/29/2015,509.6
1/30/2015,514.45
02-02-2015,530.27
02-03-2015,526.55
02-04-2015,527.79
02-05-2015,522.36
02-06-2015,526.2
02-09-2015,526.55
02-10-2015,527.85
02-11-2015,533.83
02-12-2015,535.78
2/13/2015,541.86
2/17/2015,545.33
2/18/2015,539.92
2/19/2015,536.57
2/20/2015,541.64
2/23/2015,534.58
2/24/2015,528.55
2/25/2015,534.43
2/26/2015,541.72
2/27/2015,552.72
03-02-2015,559
03-03-2015,568.89
03-04-2015,570.3
03-05-2015,573.45
03-06-2015,573.31
03-09-2015,565.31
03-10-2015,562.71
03-11-2015,553.62
03-12-2015,551.99
3/13/2015,551.98
3/16/2015,549.44
3/17/2015,550.2
3/18/2015,550.99
3/19/2015,557.86
3/20/2015,560.11
3/23/2015,558.9
3/24/2015,561.02
3/25/2015,568.94
3/26/2015,556.06
3/27/2015,551.49
3/30/2015,550.11
3/31/2015,548.49
04-01-2015,547.1
04-02-2015,539.37
04-06-2015,530.76
04-07-2015,536.61
04-08-2015,536.91
04-09-2015,539.55
04-10-2015,540.81
4/13/2015,536.94
4/14/2015,534.78
4/15/2015,527.25
4/16/2015,528.45
4/17/2015,527.21
4/20/2015,524.16
4/21/2015,536.04
4/22/2015,532.94
4/23/2015,539.52
4/24/2015,564.55
4/27/2015,563.39
4/28/2015,554.64
4/29/2015,550.47
4/30/2015,547.87
05-01-2015,538.43
05-04-2015,538.53
05-05-2015,538.21
05-06-2015,531.24
05-07-2015,523.99
05-08-2015,536.65
05-11-2015,538.37
05-12-2015,531.6
5/13/2015,530.56
5/14/2015,533.77
5/15/2015,539.18
5/18/2015,532.01
5/19/2015,533.98
5/20/2015,538.49
5/21/2015,537.95
5/22/2015,540.15
5/26/2015,538.12
5/27/2015,532.8
5/28/2015,538.01
5/29/2015,537.37
06-01-2015,536.79
06-02-2015,532.93
06-03-2015,539.91
06-04-2015,537.76
06-05-2015,536.35
06-08-2015,533.31
06-09-2015,527.56
06-10-2015,529.36
06-11-2015,538.42
06-12-2015,531.6
6/15/2015,528
6/16/2015,528.4
6/17/2015,529.37
6/18/2015,531
6/19/2015,537.21
6/22/2015,539.59
6/23/2015,539.64
6/24/2015,540
6/25/2015,538.87
6/26/2015,537.26
6/29/2015,525.01
6/30/2015,526.02
07-01-2015,524.73
07-02-2015,521.08
07-06-2015,519.5
07-07-2015,523.13
07-08-2015,521.05
07-09-2015,523.12
07-10-2015,526.29
7/13/2015,532.88
7/14/2015,546.76
7/15/2015,560.13
7/16/2015,565.12
7/17/2015,649
7/20/2015,659.24
7/21/2015,655.21
7/22/2015,660.89
7/23/2015,661.27
7/24/2015,647
7/27/2015,621
7/28/2015,632.83
7/29/2015,628.8
7/30/2015,630
7/31/2015,631.38
08-03-2015,625.34
08-04-2015,628.42
08-05-2015,634.33
08-06-2015,645
08-07-2015,640.23
08-10-2015,639.48
08-11-2015,669.2
08-12-2015,663.08
8/13/2015,659.32
8/14/2015,655.01
8/17/2015,656.8
8/18/2015,661.9
8/19/2015,656.6
8/20/2015,655.46
8/21/2015,639.78
8/24/2015,573
8/25/2015,614.91
8/26/2015,610.35
8/27/2015,639.4
8/28/2015,632.82
8/31/2015,627.54
09-01-2015,602.36
09-02-2015,605.59
09-03-2015,617
09-04-2015,600
09-08-2015,612.49
09-09-2015,621.22
09-10-2015,613.1
09-11-2015,619.75
9/14/2015,625.7
9/15/2015,626.7
9/16/2015,635.47
9/17/2015,637.79
9/18/2015,636.79
9/21/2015,634.4
9/22/2015,627
9/23/2015,622.05
9/24/2015,616.64
9/25/2015,629.77
9/28/2015,610.34
9/29/2015,597.28
9/30/2015,603.28
10-01-2015,608.37
10-02-2015,607.2
10-05-2015,632
10-06-2015,638.84
10-07-2015,649.24
10-08-2015,641.36
10-09-2015,640
10-12-2015,642.09
10/13/2015,643.15
10/14/2015,653.21
10/15/2015,654.66
10/16/2015,664.11
10/19/2015,661.18
10/20/2015,664.04
10/21/2015,654.15
10/22/2015,646.7
10/23/2015,727.5
10/26/2015,701.55
10/27/2015,707.38
10/28/2015,707.33
10/29/2015,710.5
10/30/2015,715.73
11-02-2015,711.06
11-03-2015,718.86
11-04-2015,722
11-05-2015,729.47
11-06-2015,731.5
11-09-2015,730.2
11-10-2015,724.4
11-11-2015,732.46
11-12-2015,731
11/13/2015,729.17
11/16/2015,715.6
11/17/2015,729.29
11/18/2015,727.58
11/19/2015,738.74
11/20/2015,746.53
11/23/2015,757.45
11/24/2015,752
11/25/2015,748.14
11/27/2015,748.46
11/30/2015,748.81
12-01-2015,747.11
12-02-2015,768.9
12-03-2015,766.01
12-04-2015,753.1
12-07-2015,767.77
12-08-2015,757.89
12-09-2015,759.17
12-10-2015,752.85
12-11-2015,741.16
12/14/2015,741.79
12/15/2015,753
12/16/2015,750
12/17/2015,762.42
12/18/2015,746.51
12/21/2015,746.13
12/22/2015,751.65
12/23/2015,753.47
12/24/2015,749.55
12/28/2015,752.92
12/29/2015,766.69
12/30/2015,776.6
12/31/2015,769.5
01-04-2016,743
01-05-2016,746.45
01-06-2016,730
01-07-2016,730.31
01-08-2016,731.45
01-11-2016,716.61
01-12-2016,721.68
1/13/2016,730.85
1/14/2016,705.38
1/15/2016,692.29
1/19/2016,703.3
1/20/2016,688.61
1/21/2016,702.18
1/22/2016,723.6
1/25/2016,723.58
1/26/2016,713.85
1/27/2016,713.67
1/28/2016,722.22
1/29/2016,731.53
02-01-2016,750.46
02-02-2016,784.5
02-03-2016,770.22
02-04-2016,722.81
02-05-2016,703.87
02-08-2016,667.85
02-09-2016,672.32
02-10-2016,686.86
02-11-2016,675
02-12-2016,690.26
2/16/2016,692.98
2/17/2016,698.09
2/18/2016,710
2/19/2016,695.03
2/22/2016,707.45
2/23/2016,701.45
2/24/2016,688.92
2/25/2016,700.01
2/26/2016,708.58
2/29/2016,700.32
03-01-2016,703.62
03-02-2016,719
03-03-2016,718.68
03-04-2016,714.99
03-07-2016,706.9
03-08-2016,688.59
03-09-2016,698.47
03-10-2016,708.12
03-11-2016,720
3/14/2016,726.81
3/15/2016,726.92
3/16/2016,726.37
3/17/2016,736.45
3/18/2016,741.86
3/21/2016,736.5
3/22/2016,737.46
3/23/2016,742.36
3/24/2016,732.01
3/28/2016,736.79
3/29/2016,734.59
3/30/2016,750.1
3/31/2016,749.25
04-01-2016,738.6
04-04-2016,750.06
04-05-2016,738
04-06-2016,735.77
04-07-2016,745.37
04-08-2016,743.97
04-11-2016,743.02
04-12-2016,738
4/13/2016,749.16
4/14/2016,754.01
4/15/2016,753.98
4/18/2016,760.46
4/19/2016,769.51
4/20/2016,758
4/21/2016,755.38
4/22/2016,726.3
4/25/2016,716.1
4/26/2016,725.42
4/27/2016,707.29
4/28/2016,708.26
4/29/2016,690.7
05-02-2016,697.63
05-03-2016,696.87
05-04-2016,690.49
05-05-2016,697.7
05-06-2016,698.38
05-09-2016,712
05-10-2016,716.75
05-11-2016,723.41
05-12-2016,717.06
5/13/2016,711.93
5/16/2016,709.13
5/17/2016,715.99
5/18/2016,703.67
5/19/2016,702.36
5/20/2016,701.62
5/23/2016,706.53
5/24/2016,706.86
5/25/2016,720.76
5/26/2016,722.87
5/27/2016,724.01
5/31/2016,731.74
06-01-2016,734.53
06-02-2016,732.5
06-03-2016,729.27
06-06-2016,724.91
06-07-2016,719.84
06-08-2016,723.96
06-09-2016,722.87
06-10-2016,719.47
6/13/2016,716.51
6/14/2016,716.48
6/15/2016,719
6/16/2016,714.91
6/17/2016,708.65
6/20/2016,698.77
6/21/2016,698.4
6/22/2016,699.06
6/23/2016,697.45
6/24/2016,675.17
6/27/2016,671
6/28/2016,678.97
6/29/2016,683
6/30/2016,685.47
07-01-2016,692.2
07-05-2016,696.06
07-06-2016,689.98
07-07-2016,698.08
07-08-2016,699.5
07-11-2016,708.05
07-12-2016,719.12
7/13/2016,723.62
7/14/2016,721.58
7/15/2016,725.73
7/18/2016,722.71
7/19/2016,729.89
7/20/2016,737.33
7/21/2016,740.36
7/22/2016,741.86
7/25/2016,740.67
7/26/2016,739.04
7/27/2016,738.28
7/28/2016,747.04
7/29/2016,772.71
08-01-2016,761.09
08-02-2016,768.69
08-03-2016,767.18
08-04-2016,772.22
08-05-2016,773.78
08-08-2016,782
08-09-2016,781.1
08-10-2016,783.75
08-11-2016,785
08-12-2016,781.5
8/15/2016,783.75
8/16/2016,780.3
8/17/2016,777.32
8/18/2016,780.01
8/19/2016,775
8/22/2016,773.27
8/23/2016,775.48
8/24/2016,770.58
8/25/2016,767
8/26/2016,769
8/29/2016,768.74
8/30/2016,769.33
8/31/2016,767.01
09-01-2016,769.25
09-02-2016,773.01
09-06-2016,773.45
09-07-2016,780
09-08-2016,778.59
09-09-2016,770.1
09-12-2016,755.13
9/13/2016,764.48
9/14/2016,759.61
9/15/2016,762.89
9/16/2016,769.75
9/19/2016,772.42
9/20/2016,769
9/21/2016,772.66
9/22/2016,780
9/23/2016,786.59
9/26/2016,782.74
9/27/2016,775.5
9/28/2016,777.85
9/29/2016,781.44
9/30/2016,776.33
10-03-2016,774.25
10-04-2016,776.03
10-05-2016,779.31
10-06-2016,779
10-07-2016,779.66
10-10-2016,777.71
10-11-2016,786.66
10-12-2016,783.76
10/13/2016,781.22
10/14/2016,781.65
10/17/2016,779.8
10/18/2016,787.85
10/19/2016,798.24
10/20/2016,803.3
10/21/2016,795
10/24/2016,804.9
10/25/2016,816.68
10/26/2016,806.34
10/27/2016,801
10/28/2016,808.35
10/31/2016,795.47
11-01-2016,782.89
11-02-2016,778.2
11-03-2016,767.25
11-04-2016,750.66
11-07-2016,774.5
11-08-2016,783.4
11-09-2016,779.94
11-10-2016,791.17
11-11-2016,756.54
11/14/2016,755.6
11/15/2016,746.97
11/16/2016,755.2
11/17/2016,766.92
11/18/2016,771.37
11/21/2016,762.61
11/22/2016,772.63
11/23/2016,767.73
11/25/2016,764.26
11/28/2016,760
11/29/2016,771.53
11/30/2016,770.07
12-01-2016,757.44
12-02-2016,744.59
12-05-2016,757.71
12-06-2016,764.73
12-07-2016,761
12-08-2016,772.48
12-09-2016,780
12-12-2016,785.04
12/13/2016,793.9
12/14/2016,797.4
12/15/2016,797.34
12/16/2016,800.4
12/19/2016,790.22
12/20/2016,796.76
12/21/2016,795.84
12/22/2016,792.36
12/23/2016,790.9
12/27/2016,790.68
12/28/2016,793.7
12/29/2016,783.33
12/30/2016,782.75
